2022-02-18T16-04-21,32425,DOCTORS MEMORIAL HOSP,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,32425,DOCTORS MEMORIAL HOSP,02/25/2022 12:00:00 AM,,15,5,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,32425,DOCTORS MEMORIAL HOSP,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,15,5,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,32425,Doctors Memorial Hospital -Bonifay,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,25,25,03/04/2022 12:00:00 AM
2022-03-29T08-50-48,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-03-30T09-27-07,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-03-31T08-53-07,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-03-31T15-09-22,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-01T06-54-45,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-02T06-05-59,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-03T05-51-54,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-04T05-38-24,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-05T05-48-33,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-06T05-45-18,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-07T05-34-07,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-08T05-48-29,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-09T05-41-09,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-10T09-31-27,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-11T07-06-23,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-12T07-06-55,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-13T09-20-57,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-13T11-55-39,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-14T09-18-06,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-15T06-03-51,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-16T05-33-42,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-17T05-32-24,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-18T05-31-10,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
2022-04-19T05-39-24,32425,Doctors Memorial Hospital -Bonifay,NLP,NLP,NLP,25,03/04/2022 12:00:00 AM
