2022-02-18T16-04-21,33872,ADVENTHEALTH-SEBRING,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,33872,ADVENTHEALTH-SEBRING,02/25/2022 12:00:00 AM,,55,5,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,33872,ADVENTHEALTH-SEBRING,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,55,55,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,33872,AdventHealth Sebring,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,55,55,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/07/2022 12:00:00 AM
2022-03-24T13-46-29,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-03-31T08-53-07,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-03-31T15-09-22,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-04-01T06-54-45,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-04-01T06-54-45,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-04-03T05-51-54,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-04-03T05-51-54,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-04-05T05-48-33,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/24/2022 12:00:00 AM
2022-04-05T05-48-33,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
2022-04-07T05-34-07,33872,AdventHealth Sebring,NLP,NLP,NLP,55,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,33872,AdventHealth Sebring,NLP,NLP,NLP,55,03/30/2022 12:00:00 AM
