2022-02-18T16-04-21,35173,WELLNESS MEDICAL CENTER,02/15/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,35173,WELLNESS MEDICAL CENTER,02/21/2022 12:00:00 AM,,15,,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,35173,WELLNESS MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,13,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,35173,WELLNESS MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,13,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-03-30T09-27-07,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-03-31T08-53-07,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-03-31T15-09-22,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-01T06-54-45,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-02T06-05-59,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-03T05-51-54,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-04T05-38-24,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-05T05-48-33,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-06T05-45-18,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-07T05-34-07,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-08T05-48-29,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-09T05-41-09,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-10T09-31-27,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-11T07-06-23,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-12T07-06-55,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-13T09-20-57,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-13T11-55-39,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-14T09-18-06,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-15T06-03-51,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-16T05-33-42,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-17T05-32-24,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-18T05-31-10,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-19T05-39-24,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-20T05-27-37,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-21T05-29-54,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-22T05-26-18,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-23T05-25-10,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-24T05-22-24,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-25T05-22-33,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-26T05-20-54,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-27T05-23-49,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-28T09-22-45,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-29T05-13-54,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-04-30T05-15-55,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-01T05-13-51,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-02T06-02-50,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-03T06-05-23,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-04T05-12-02,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-05T09-49-47,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-06T06-12-41,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-07T05-45-31,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-08T10-02-59,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-09T05-08-14,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-10T06-06-54,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-11T06-51-12,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-12T07-16-49,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-13T06-07-31,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
2022-05-14T08-49-14,35173,WELLNESS MEDICAL CENTER,NLP,NLP,NLP,13,03/02/2022 12:00:00 AM
