2022-02-18T16-04-21,24740,PRINCETON COMMUNITY HOSPITAL ASSN,02/15/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,24740,PRINCETON COMMUNITY HOSPITAL ASSN,02/22/2022 12:00:00 AM,,40,,
2022-03-03T10-04-44,24740,PRINCETON COMMUNITY HOSPITAL ASSN,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,40,,
2022-03-08T14-40-56,24740,PRINCETON COMMUNITY HOSPITAL ASSN,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,40,,
2022-06-11T04-15-14,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,23,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,23,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,23,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,23,06/10/2022 12:00:00 AM
2022-06-15T04-15-27,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,23,06/10/2022 12:00:00 AM
2022-06-16T04-15-45,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,23,06/10/2022 12:00:00 AM
2022-06-17T04-15-27,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,23,06/10/2022 12:00:00 AM
2022-06-18T04-15-18,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,26,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,26,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,26,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,26,06/17/2022 12:00:00 AM
2022-06-22T04-15-20,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-24T04-15-26,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-25T04-15-18,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-26T04-15-17,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-27T04-15-31,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,06/21/2022 12:00:00 AM
2022-06-28T04-15-44,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,8,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,17,06/30/2022 12:00:00 AM
2022-07-01T04-15-22,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,17,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,17,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,17,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,17,06/30/2022 12:00:00 AM
2022-07-06T04-15-19,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,5,07/05/2022 12:00:00 AM
2022-07-09T04-15-19,24740,PRINCETON COMMUNITY HOSPITAL ASSN,NLP,NLP,NLP,16,07/08/2022 12:00:00 AM
