2022-02-18T16-04-21,11542,Glen Cove Hospital,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,11542,Glen Cove Hospital,02/24/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,11542,Glen Cove Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,11542,Glen Cove Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-29T08-50-48,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-07T05-34-07,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-08T05-48-29,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-09T05-41-09,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-10T09-31-27,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-11T07-06-23,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-12T07-06-55,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-13T09-20-57,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-13T11-55-39,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-14T09-18-06,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-15T06-03-51,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-16T05-33-42,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-17T05-32-24,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-18T05-31-10,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-19T05-39-24,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-20T05-27-37,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-21T05-29-54,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-04-22T05-26-18,11542,Glen Cove Hospital,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
