2022-04-02T06-05-59,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-13T11-55-39,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-14T09-18-06,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-24T05-22-24,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-25T05-22-33,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-26T05-20-54,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-27T05-23-49,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,59405,BENEFIS HEALTH SYSTEM,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
