2022-02-18T16-04-21,53792,UW HEALTH - UNIVERSITY HOSPITAL,02/16/2022 12:00:00 AM,,20,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,53792,UW HEALTH - UNIVERSITY HOSPITAL,02/21/2022 12:00:00 AM,,40,40,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,53792,UW HEALTH - UNIVERSITY HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,40,40,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,53792,UW HEALTH - UNIVERSITY HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,40,40,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-25T08-10-53,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,78,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,78,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,78,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,78,04/02/2022 12:00:00 AM
2022-04-05T05-48-33,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,78,04/02/2022 12:00:00 AM
2022-04-06T05-45-18,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,78,04/02/2022 12:00:00 AM
2022-04-07T05-34-07,53792,UW HEALTH - UNIVERSITY HOSPITAL,NLP,NLP,NLP,78,04/02/2022 12:00:00 AM
