2022-02-18T16-04-21,70560,IBERIA MEDICAL CENTER,02/14/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,70560,IBERIA MEDICAL CENTER,02/28/2022 12:00:00 AM,,15,4,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,70560,IBERIA MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,4,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,70560,IBERIA MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,8,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,16,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,15,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,14,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,13,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,13,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,13,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,13,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,70560,IBERIA MEDICAL CENTER,NLP,NLP,NLP,13,04/07/2022 12:00:00 AM
