2022-04-12T07-06-55,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/11/2022 12:00:00 AM
2022-04-16T05-33-42,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-21T05-29-54,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-22T05-26-18,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-23T05-25-10,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-24T05-22-24,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-25T05-22-33,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/15/2022 12:00:00 AM
2022-04-26T05-20-54,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-04-29T05-13-54,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-04-30T05-15-55,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-05-01T05-13-51,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-05-02T06-02-50,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-05-03T06-05-23,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-05-04T05-12-02,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-05-05T09-49-47,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,28,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,28,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,28,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,28,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,28,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,28,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,28,05/06/2022 12:00:00 AM
2022-05-12T07-16-49,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,23417,RIVERSIDE SHORE MEMORIAL HOSPITAL,NLP,NLP,NLP,26,05/20/2022 12:00:00 AM
