2022-02-18T16-04-21,27886,VIDANT EDGECOMBE HOSPITAL,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,27886,VIDANT EDGECOMBE HOSPITAL,02/23/2022 12:00:00 AM,,40,10,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,27886,VIDANT EDGECOMBE HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,10,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,27886,VIDANT EDGECOMBE HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,10,02/25/2022 12:00:00 AM
2022-03-29T08-50-48,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-03-30T09-27-07,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-03-31T08-53-07,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-03-31T15-09-22,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-04-01T06-54-45,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-04-02T06-05-59,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-04-03T05-51-54,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-04-04T05-38-24,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-04-05T05-48-33,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-04-06T05-45-18,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-04-07T05-34-07,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-04-08T05-48-29,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-04-09T05-41-09,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-13T09-20-57,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-13T11-55-39,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-14T09-18-06,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-15T06-03-51,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-16T05-33-42,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-17T05-32-24,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-18T05-31-10,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-19T05-39-24,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
