2022-02-18T16-04-21,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,02/17/2022 12:00:00 AM,,45,,
2022-03-03T09-56-49,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,02/24/2022 12:00:00 AM,,95,45,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,95,95,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,135,95,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,95,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,20010,MEDSTAR WASHINGTON HOSPITAL CENTER,NLP,NLP,NLP,135,03/21/2022 12:00:00 AM
