2022-02-18T16-04-21,54568,HOWARD YOUNG MEDICAL CENTER,02/16/2022 12:00:00 AM,,5,0,02/15/2022 12:00:00 AM
2022-04-05T05-48-33,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-06T05-45-18,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-07T05-34-07,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-08T05-48-29,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-09T05-41-09,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-10T09-31-27,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-11T07-06-23,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-12T07-06-55,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T09-20-57,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T11-55-39,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-14T09-18-06,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-15T06-03-51,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
