2022-02-18T16-04-21,71832,De Queen Health and Wellness,02/16/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,71832,De Queen Health and Wellness,02/22/2022 12:00:00 AM,,80,20,02/22/2022 12:00:00 AM
2022-03-03T10-04-44,71832,De Queen Health and Wellness,03/01/2022 12:00:00 AM,02/24/2022 12:00:00 AM,100,20,02/22/2022 12:00:00 AM
2022-03-08T14-40-56,71832,De Queen Health and Wellness,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,100,20,02/22/2022 12:00:00 AM
2022-03-16T18-51-35,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/20/2022 12:00:00 AM
2022-03-22T09-16-18,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/23/2022 12:00:00 AM
2022-03-24T07-49-11,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/26/2022 12:00:00 AM
2022-03-29T08-50-48,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-03-29T08-50-48,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/30/2022 12:00:00 AM
2022-03-30T09-27-07,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-03-31T08-53-07,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/31/2022 12:00:00 AM
2022-03-31T08-53-07,71832,De Queen Health and Wellness,NLP,NLP,NLP,20,02/23/2022 12:00:00 AM
2022-03-31T15-09-22,71832,De Queen Health and Wellness Pharma,NLP,NLP,NLP,100,03/31/2022 12:00:00 AM
