2022-02-18T16-04-21,15122,Primary Care PHCY SVCS - West Miffl,02/16/2022 12:00:00 AM,,25,,
2022-03-03T09-56-49,15122,Primary Care PHCY SVCS - West Miffl,02/23/2022 12:00:00 AM,,50,25,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,15122,Primary Care PHCY SVCS - West Miffl,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,25,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,15122,Primary Care PHCY SVCS - West Miffl,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,25,02/24/2022 12:00:00 AM
2022-03-16T18-51-35,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-05-28T05-34-18,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,15122,Primary Care PHCY SVCS - West Miffl,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
