2022-02-18T16-04-21,77515,UTMB ANGLETON DANBURY CAMPUS,02/15/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,77515,UTMB ANGLETON DANBURY CAMPUS,02/21/2022 12:00:00 AM,,40,,
2022-03-03T10-04-44,77515,UTMB ANGLETON DANBURY CAMPUS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,40,,
2022-03-08T14-40-56,77515,UTMB ANGLETON DANBURY CAMPUS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,40,,
2022-06-04T19-11-08,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-08T05-42-02,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-09T04-15-20,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-10T04-15-36,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-11T04-15-14,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-12T04-15-15,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-13T04-15-40,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-14T04-15-16,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-15T04-15-27,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-16T04-15-45,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,43,06/02/2022 12:00:00 AM
2022-06-28T04-15-44,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,27,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,27,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,27,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,27,06/27/2022 12:00:00 AM
2022-07-03T14-40-38,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,27,06/27/2022 12:00:00 AM
2022-07-04T04-15-29,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,27,06/27/2022 12:00:00 AM
2022-07-05T04-15-18,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,27,06/27/2022 12:00:00 AM
2022-07-06T04-15-19,77515,UTMB ANGLETON DANBURY CAMPUS,NLP,NLP,NLP,27,06/27/2022 12:00:00 AM
