2022-03-08T14-40-56,88415,CHS: UNION COUNTY HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,5,6,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,5,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-29T08-50-48,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,88415,CHS: UNION COUNTY HOSPITAL,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
