2022-02-18T16-04-21,87020,CIBOLA GENERAL HOSPITAL,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,87020,CIBOLA GENERAL HOSPITAL,02/28/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,87020,CIBOLA GENERAL HOSPITAL,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,87020,CIBOLA GENERAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,,
2022-05-21T05-54-21,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,87020,CIBOLA GENERAL HOSPITAL,NLP,NLP,NLP,15,05/23/2022 12:00:00 AM
