2022-03-08T14-40-56,32505,Marie K. Young Community -Escambia,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,310,,
2022-03-16T18-51-35,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,264,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,264,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,264,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32505,Marie K. Young Community -Escambia,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
