2022-02-18T16-04-21,27577,Johnston Health Outpatient Pharmacy,02/16/2022 12:00:00 AM,,20,,
2022-02-18T16-04-21,27577,Johnston Memorial Hospital,02/16/2022 12:00:00 AM,,40,,
2022-03-03T09-56-49,27577,Johnston Memorial Hospital,02/23/2022 12:00:00 AM,,100,190,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,27577,Johnston Memorial Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,190,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,27577,Johnston Memorial Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,190,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/15/2022 12:00:00 AM
2022-03-23T08-41-43,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,27577,Johnston Memorial Hospital,NLP,NLP,NLP,190,03/22/2022 12:00:00 AM
