2022-02-18T16-04-21,70438,RIVERSIDE MEDICAL CENTER,02/14/2022 12:00:00 AM,,5,5,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,70438,RIVERSIDE MEDICAL CENTER,02/21/2022 12:00:00 AM,,10,10,02/26/2022 12:00:00 AM
2022-03-03T10-04-44,70438,RIVERSIDE MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,70438,RIVERSIDE MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-03-30T09-27-07,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-03-31T08-53-07,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-03-31T15-09-22,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-01T06-54-45,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-02T06-05-59,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-03T05-51-54,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-04T05-38-24,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-05T05-48-33,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-06T05-45-18,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-07T05-34-07,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-08T05-48-29,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-09T05-41-09,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-10T09-31-27,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-11T07-06-23,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-12T07-06-55,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-13T09-20-57,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-13T11-55-39,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-14T09-18-06,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-15T06-03-51,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-16T05-33-42,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-17T05-32-24,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-18T05-31-10,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-19T05-39-24,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-20T05-27-37,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
2022-04-21T05-29-54,70438,RIVERSIDE MEDICAL CENTER,NLP,NLP,NLP,10,03/02/2022 12:00:00 AM
