2022-02-18T16-04-21,30122,"Wellstar Health System, Inc",02/17/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,30122,"Wellstar Health System, Inc",02/23/2022 12:00:00 AM,,55,35,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,30122,"Wellstar Health System, Inc",03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,95,35,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,30122,"Wellstar Health System, Inc",03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,95,35,03/01/2022 12:00:00 AM
2022-03-16T18-51-35,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/10/2022 12:00:00 AM
2022-03-29T08-50-48,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/10/2022 12:00:00 AM
2022-03-30T09-27-07,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-08T05-48-29,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-09T05-41-09,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-10T09-31-27,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-11T07-06-23,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,794,03/31/2022 12:00:00 AM
2022-04-12T07-06-55,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1194,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1194,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1194,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1194,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1194,04/11/2022 12:00:00 AM
2022-04-16T05-33-42,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1194,04/11/2022 12:00:00 AM
2022-04-17T05-32-24,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1194,04/11/2022 12:00:00 AM
2022-04-18T05-31-10,30122,"Wellstar Health System, Inc",NLP,NLP,NLP,1194,04/11/2022 12:00:00 AM
