2022-02-18T16-04-21,44870,FIRELANDS REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,44870,FIRELANDS REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,,10,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,44870,FIRELANDS REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,44870,FIRELANDS REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,10,10,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-26T12-42-50,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-27T06-25-27,44870,FIRELANDS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
