2022-03-16T18-51-35,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,310,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,310,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,310,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,430,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,429,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,429,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,429,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,429,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,429,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,429,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,4280,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,4280,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,4280,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,4280,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,4280,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,4280,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,4280,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,2000,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,2000,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,2000,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,2000,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1999,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1999,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1999,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1999,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1974,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1999,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1999,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,32308,TALLAHASSEE MEMORIAL HEALTHCARE,NLP,NLP,NLP,10,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1998,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,32308,TALLAHASSEE MEMORIAL HEALTHCARE,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1998,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,32308,TALLAHASSEE MEMORIAL HEALTHCARE,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1998,04/17/2022 12:00:00 AM
2022-04-18T05-31-10,32308,TALLAHASSEE MEMORIAL HEALTHCARE,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1998,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,32308,TALLAHASSEE MEMORIAL HEALTHCARE,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1997,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,32308,TALLAHASSEE MEMORIAL HEALTHCARE,NLP,NLP,NLP,10,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,32308,CDR Health Tallahassee Clinic,NLP,NLP,NLP,1994,04/20/2022 12:00:00 AM
