2022-02-18T16-04-21,53916,MARSHFIELD MEDICAL CENTER - BEAVER,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,53916,MARSHFIELD MEDICAL CENTER - BEAVER,02/16/2022 12:00:00 AM,,5,,
2022-03-03T10-04-44,53916,MARSHFIELD MEDICAL CENTER - BEAVER,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,5,5,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,53916,MARSHFIELD MEDICAL CENTER - BEAVER,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,5,5,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,53916,MARSHFIELD MEDICAL CENTER - BEAVER,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
