2022-02-18T16-04-21,36251,CLAY COUNTY HOSPITAL AND NURSING HO,02/15/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,36251,CLAY COUNTY HOSPITAL AND NURSING HO,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,36251,CLAY COUNTY HOSPITAL AND NURSING HO,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,36251,CLAY COUNTY HOSPITAL AND NURSING HO,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,25,,
2022-03-23T08-41-43,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-05T05-48-33,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-06T05-45-18,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-07T05-34-07,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-08T05-48-29,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-09T05-41-09,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-10T09-31-27,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-11T07-06-23,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/09/2022 12:00:00 AM
2022-04-12T07-06-55,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-12T07-06-55,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-13T09-20-57,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-13T11-55-39,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-14T09-18-06,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-15T06-03-51,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-16T05-33-42,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-17T05-32-24,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-18T05-31-10,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-19T05-39-24,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-20T05-27-37,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-21T05-29-54,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-22T05-26-18,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-23T05-25-10,36251,CLAY COUNTY HOSPITAL AND NURSING HO,NLP,NLP,NLP,25,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,36251,ASHLAND PHARMACY,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
