2022-02-18T16-04-21,14626,THE UNITY HOSPITAL OF ROCHESTER,02/17/2022 12:00:00 AM,,15,0,02/16/2022 12:00:00 AM
2022-02-18T16-04-21,14626,UNITY HOSPITAL-UNITY HEALTH SYSTEM,02/17/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,14626,THE UNITY HOSPITAL OF ROCHESTER,02/24/2022 12:00:00 AM,,45,60,02/28/2022 12:00:00 AM
2022-03-03T09-56-49,14626,UNITY HOSPITAL-UNITY HEALTH SYSTEM,02/17/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,14626,THE UNITY HOSPITAL OF ROCHESTER,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,45,60,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,14626,UNITY HOSPITAL-UNITY HEALTH SYSTEM,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,14626,UNITY HOSPITAL-UNITY HEALTH SYSTEM,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,14626,THE UNITY HOSPITAL OF ROCHESTER,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,55,70,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,70,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,155,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,150,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,174,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,174,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,174,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,166,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,160,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,160,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,157,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,152,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,152,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,152,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,152,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,173,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,170,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,165,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,161,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,156,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,156,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,156,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,153,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,147,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,140,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,136,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,136,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,136,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,136,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,132,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,154,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,144,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,119,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,119,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,119,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,115,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,113,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,113,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,112,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,99,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,99,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,99,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,147,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,145,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,145,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,145,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,143,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,143,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,143,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,143,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,143,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14626,THE UNITY HOSPITAL OF ROCHESTER,NLP,NLP,NLP,143,05/20/2022 12:00:00 AM
