2022-02-18T16-04-21,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,02/17/2022 12:00:00 AM,,5,0,02/14/2022 12:00:00 AM
2022-03-03T09-56-49,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,02/17/2022 12:00:00 AM,,5,5,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,5,5,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,5,5,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,5,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,29,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,29,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,18,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,27,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,27,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,27,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,26,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,25,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,22,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,22,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,22,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,22,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,22,04/13/2022 12:00:00 AM
2022-04-18T05-31-10,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,22,04/13/2022 12:00:00 AM
2022-04-19T05-39-24,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,47,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,47,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,45,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,45,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,45,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,45,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,45,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,44,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,43,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,43,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,43,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,43,04/26/2022 12:00:00 AM
2022-05-01T05-13-51,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,43,04/26/2022 12:00:00 AM
2022-05-02T06-02-50,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,43,04/26/2022 12:00:00 AM
2022-05-03T06-05-23,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,43,04/26/2022 12:00:00 AM
2022-05-04T05-12-02,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,25,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,25,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,34,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,33,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,32,05/07/2022 12:00:00 AM
2022-05-09T05-08-14,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,32,05/07/2022 12:00:00 AM
2022-05-10T06-06-54,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,32,05/07/2022 12:00:00 AM
2022-05-11T06-51-12,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,32,05/07/2022 12:00:00 AM
2022-05-12T07-16-49,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,32,05/07/2022 12:00:00 AM
2022-05-13T06-07-31,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,32,05/07/2022 12:00:00 AM
2022-05-14T08-49-14,48342,POH-PONTIAC OSTEOPATHIC HOSPITAL-AH,NLP,NLP,NLP,32,05/07/2022 12:00:00 AM
