2022-03-03T09-56-49,94080,KAISER SOUTH SF INPATIENT PHCY,02/26/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,94080,KAISER SOUTH SF INPATIENT PHCY,02/26/2022 12:00:00 AM,03/01/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,94080,KAISER SOUTH SF INPATIENT PHCY,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,30,,
2022-06-18T04-15-18,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,35,06/18/2022 12:00:00 AM
2022-06-19T04-15-29,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,35,06/18/2022 12:00:00 AM
2022-06-20T04-15-58,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,35,06/18/2022 12:00:00 AM
2022-06-21T04-15-35,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,51,06/21/2022 12:00:00 AM
2022-06-22T04-15-20,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,51,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,51,06/21/2022 12:00:00 AM
2022-06-24T04-15-26,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,51,06/21/2022 12:00:00 AM
2022-06-25T04-15-18,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,51,06/21/2022 12:00:00 AM
2022-06-26T04-15-17,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,51,06/21/2022 12:00:00 AM
2022-06-27T04-15-31,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,51,06/21/2022 12:00:00 AM
2022-06-28T04-15-44,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,68,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,68,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,68,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,68,06/27/2022 12:00:00 AM
2022-07-03T14-40-38,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,68,06/27/2022 12:00:00 AM
2022-07-04T04-15-29,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,68,06/27/2022 12:00:00 AM
2022-07-05T04-15-18,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,68,06/27/2022 12:00:00 AM
2022-07-06T04-15-19,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,68,06/27/2022 12:00:00 AM
2022-07-07T04-15-17,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,85,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,85,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,85,07/06/2022 12:00:00 AM
2022-07-09T04-15-19,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,85,07/06/2022 12:00:00 AM
2022-07-10T04-15-26,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,85,07/06/2022 12:00:00 AM
2022-07-11T04-15-25,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,85,07/06/2022 12:00:00 AM
2022-07-12T04-15-22,94080,KAISER SOUTH SF INPATIENT PHCY,NLP,NLP,NLP,85,07/06/2022 12:00:00 AM
