2022-02-18T16-04-21,73160,MOORE CARE,02/17/2022 12:00:00 AM,,100,,
2022-03-03T09-56-49,73160,MOORE CARE,02/23/2022 12:00:00 AM,,200,100,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,73160,MOORE CARE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,200,100,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,73160,MOORE CARE,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,350,100,02/24/2022 12:00:00 AM
2022-03-18T11-17-38,73160,MOORE CARE,NLP,NLP,NLP,887,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,73160,MOORE CARE,NLP,NLP,NLP,887,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,73160,MOORE CARE,NLP,NLP,NLP,887,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,73160,MOORE CARE,NLP,NLP,NLP,887,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,73160,MOORE CARE,NLP,NLP,NLP,887,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,73160,MOORE CARE,NLP,NLP,NLP,887,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,73160,MOORE CARE,NLP,NLP,NLP,887,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,73160,MOORE CARE,NLP,NLP,NLP,887,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,73160,MOORE CARE,NLP,NLP,NLP,887,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,73160,MOORE CARE,NLP,NLP,NLP,887,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,73160,MOORE CARE,NLP,NLP,NLP,887,03/18/2022 12:00:00 AM
2022-03-24T13-46-29,73160,MOORE CARE,NLP,NLP,NLP,887,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,73160,MOORE CARE,NLP,NLP,NLP,887,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,73160,MOORE CARE,NLP,NLP,NLP,887,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,73160,MOORE CARE,NLP,NLP,NLP,887,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,73160,MOORE CARE,NLP,NLP,NLP,887,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,73160,MOORE CARE,NLP,NLP,NLP,887,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,73160,MOORE CARE,NLP,NLP,NLP,887,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,73160,MOORE CARE,NLP,NLP,NLP,885,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,73160,MOORE CARE,NLP,NLP,NLP,885,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,73160,MOORE CARE,NLP,NLP,NLP,885,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,73160,MOORE CARE,NLP,NLP,NLP,884,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,73160,MOORE CARE,NLP,NLP,NLP,884,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,73160,MOORE CARE,NLP,NLP,NLP,884,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,73160,MOORE CARE,NLP,NLP,NLP,884,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,73160,MOORE CARE,NLP,NLP,NLP,883,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,73160,MOORE CARE,NLP,NLP,NLP,882,04/05/2022 12:00:00 AM
