2022-02-18T16-04-21,48146,GET WELL URGENT CARE DOWNRIVER,02/17/2022 12:00:00 AM,,25,,
2022-04-22T05-26-18,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-23T05-25-10,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-24T05-22-24,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-25T05-22-33,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-26T05-20-54,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-27T05-23-49,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-28T09-22-45,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-29T05-13-54,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-30T05-15-55,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-01T05-13-51,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-02T06-02-50,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-03T06-05-23,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-04T05-12-02,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-05T09-49-47,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-06T06-12-41,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-05-07T05-45-31,48146,GET WELL URGENT CARE DOWNRIVER,NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
