2022-03-08T14-40-56,52043,MERCYONE ELKADER MEDICAL CENTER,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,10,5,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-22T09-16-18,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/03/2022 12:00:00 AM
2022-04-06T05-45-18,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,14,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,13,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,13,04/17/2022 12:00:00 AM
2022-04-18T05-31-10,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,13,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,13,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,52043,MERCYONE ELKADER MEDICAL CENTER,NLP,NLP,NLP,13,04/20/2022 12:00:00 AM
