2022-03-08T14-40-56,96859,Tripler Army Medical Center,03/02/2022 12:00:00 AM,03/08/2022 12:00:00 AM,10,,
2022-04-29T05-13-54,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-04T05-12-02,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-05T09-49-47,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-06T06-12-41,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-07T05-45-31,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-08T10-02-59,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-09T05-08-14,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-10T06-06-54,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-11T06-51-12,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-12T07-16-49,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-19T05-25-31,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-20T05-59-40,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-21T05-54-21,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-22T09-07-10,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-05-23T07-42-39,96859,Tripler Army Medical Center,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
