2022-02-18T16-04-21,73701,INTEGRIS BASS BAPTIST HOSPITAL,02/17/2022 12:00:00 AM,,20,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,73701,INTEGRIS BASS BAPTIST HOSPITAL,02/23/2022 12:00:00 AM,,45,45,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,73701,INTEGRIS BASS BAPTIST HOSPITAL,02/23/2022 12:00:00 AM,02/26/2022 12:00:00 AM,45,45,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,73701,INTEGRIS BASS BAPTIST HOSPITAL,02/23/2022 12:00:00 AM,02/26/2022 12:00:00 AM,45,45,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-26T12-42-50,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-27T06-25-27,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-28T06-21-17,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-29T08-50-48,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-05T05-48-33,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-06T05-45-18,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-08T05-48-29,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-09T05-41-09,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-10T09-31-27,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-11T07-06-23,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-12T07-06-55,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-13T09-20-57,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-13T11-55-39,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-14T09-18-06,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-15T06-03-51,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-16T05-33-42,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-17T05-32-24,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,73701,ST MARYS REGIONAL MEDICAL CENTER,NLP,NLP,NLP,0,03/15/2022 12:00:00 AM
2022-04-18T05-31-10,73701,INTEGRIS BASS BAPTIST HOSPITAL,NLP,NLP,NLP,45,04/13/2022 12:00:00 AM
