2022-03-08T14-40-56,80525,Origin Healthcare,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,10,,
2022-05-17T05-27-38,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-20T05-59-40,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-21T05-54-21,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-22T09-07-10,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,80525,Origin Healthcare,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
