2022-02-18T16-04-21,21801,TIDALHEALTH PENINSULA REGIONAL,02/17/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-03-08T14-40-56,21801,TIDALHEALTH PENINSULA REGIONAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,35,30,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-07T05-34-07,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,35,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,35,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,35,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,35,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,33,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,31,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,29,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,29,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,29,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,28,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,28,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,28,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,21,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,21,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,19,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,17,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,17,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,31,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,30,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,21801,TIDALHEALTH PENINSULA REGIONAL,NLP,NLP,NLP,25,05/02/2022 12:00:00 AM
