2022-02-18T16-04-21,55102,Allina United Hospital Inpatient Ph,02/18/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,55102,Allina United Hospital Inpatient Ph,02/18/2022 12:00:00 AM,,20,20,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,55102,Allina United Hospital Inpatient Ph,02/18/2022 12:00:00 AM,02/22/2022 12:00:00 AM,20,20,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,55102,Allina United Hospital Inpatient Ph,02/18/2022 12:00:00 AM,02/22/2022 12:00:00 AM,20,,03/05/2022 12:00:00 AM
2022-03-16T18-51-35,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T15-22-50,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-19T08-15-59,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-19T11-58-02,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-24T13-46-29,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-26T06-57-27,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-05T05-48-33,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-06T05-45-18,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-07T05-34-07,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-08T05-48-29,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,38,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,33,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,31,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,31,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,55102,Allina United Hospital Inpatient Ph,NLP,NLP,NLP,31,04/12/2022 12:00:00 AM
