2022-02-18T16-04-21,36278,TANNER MEDICAL CENTER EAST ALABAMA,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,36278,TANNER MEDICAL CENTER EAST ALABAMA,02/21/2022 12:00:00 AM,,15,15,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,36278,TANNER MEDICAL CENTER EAST ALABAMA,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,36278,TANNER MEDICAL CENTER EAST ALABAMA,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/03/2022 12:00:00 AM
2022-03-29T08-50-48,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-03-30T09-27-07,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-03-31T08-53-07,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-03-31T15-09-22,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-01T06-54-45,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-02T06-05-59,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-03T05-51-54,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-04T05-38-24,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-05T05-48-33,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-06T05-45-18,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-07T05-34-07,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-08T05-48-29,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-09T05-41-09,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-10T09-31-27,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-11T07-06-23,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-12T07-06-55,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-13T09-20-57,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-13T11-55-39,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-14T09-18-06,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-15T06-03-51,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-16T05-33-42,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-17T05-32-24,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-18T05-31-10,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-19T05-39-24,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-20T05-27-37,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
2022-04-21T05-29-54,36278,TANNER MEDICAL CENTER EAST ALABAMA,NLP,NLP,NLP,15,03/03/2022 12:00:00 AM
