2022-02-18T16-04-21,12866,SARATOGA HOSPITAL,02/17/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,12866,SARATOGA HOSPITAL,02/23/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,12866,SARATOGA HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,12866,SARATOGA HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-04-21T05-29-54,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-24T05-22-24,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-25T05-22-33,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-26T05-20-54,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-27T05-23-49,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,18,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,18,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,18,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-06T06-12-41,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-07T05-45-31,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-08T10-02-59,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-09T05-08-14,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-10T06-06-54,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-11T06-51-12,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-12T07-16-49,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-13T06-07-31,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-14T08-49-14,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-15T05-54-13,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-16T05-54-24,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-17T05-27-38,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-18T05-40-23,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-19T05-25-31,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-20T05-59-40,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-21T05-54-21,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-22T09-07-10,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-23T07-42-39,12866,SARATOGA HOSPITAL,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
