2022-02-18T16-04-21,40403,ST JOSEPH BEREA,02/15/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,40403,ST JOSEPH BEREA,02/22/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,40403,ST JOSEPH BEREA,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,40403,ST JOSEPH BEREA,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,,
2022-05-14T08-49-14,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-19T05-25-31,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-20T05-59-40,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-21T05-54-21,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-22T09-07-10,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-23T07-42-39,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
