2022-02-18T16-04-21,88011,MEMORIAL MEDICAL HOSPITAL,02/17/2022 12:00:00 AM,,20,0,02/17/2022 12:00:00 AM
2022-03-03T10-04-44,88011,MOUNTAINVIEW REGIONAL MED CTR,02/28/2022 12:00:00 AM,,10,,
2022-03-08T14-40-56,88011,MOUNTAINVIEW REGIONAL MED CTR,02/28/2022 12:00:00 AM,03/03/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,88011,MEMORIAL MEDICAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,35,35,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,88011,MEMORIAL MEDICAL HOSPITAL,NLP,NLP,NLP,35,03/24/2022 12:00:00 AM
