2022-02-18T16-04-21,59101,BILLINGS CLINIC HOSPITAL,02/17/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,59101,BILLINGS CLINIC HOSPITAL,02/23/2022 12:00:00 AM,,40,40,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,59101,BILLINGS CLINIC HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,40,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,59101,BILLINGS CLINIC HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,40,02/25/2022 12:00:00 AM
2022-03-19T11-58-02,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
