2022-02-18T16-04-21,83642,RED ROCK PHARMACY,02/16/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,83642,RED ROCK PHARMACY,02/24/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,83642,RED ROCK PHARMACY,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,83642,RED ROCK PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,45,,
2022-03-31T08-53-07,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/30/2022 12:00:00 AM
2022-05-02T06-02-50,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,04/30/2022 12:00:00 AM
2022-05-03T06-05-23,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-08T10-02-59,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-09T05-08-14,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-10T06-06-54,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-11T06-51-12,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-12T07-16-49,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-13T06-07-31,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-14T08-49-14,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-15T05-54-13,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-16T05-54-24,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-05-17T05-27-38,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,05/03/2022 12:00:00 AM
2022-06-02T07-54-10,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/02/2022 12:00:00 AM
2022-06-08T05-42-02,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/02/2022 12:00:00 AM
2022-06-09T04-15-20,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/02/2022 12:00:00 AM
2022-06-10T04-15-36,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/02/2022 12:00:00 AM
2022-06-11T04-15-14,83642,RED ROCK PHARMACY,NLP,NLP,NLP,310,06/02/2022 12:00:00 AM
