2022-02-18T16-04-21,48038,HENRY FORD MACOMB HOSPITAL,02/17/2022 12:00:00 AM,,35,,
2022-03-03T09-56-49,48038,HENRY FORD MACOMB HOSPITAL,02/25/2022 12:00:00 AM,,110,35,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,48038,HENRY FORD MACOMB HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,110,110,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,48038,HENRY FORD MACOMB HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,110,110,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,110,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,110,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,110,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,110,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,110,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,110,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,85,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,85,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,85,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,85,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,85,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,85,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,105,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,105,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,105,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,105,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,105,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,105,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,105,03/25/2022 12:00:00 AM
