2022-02-18T16-04-21,53210,ASCENSION SE WISCONSIN HOSPITAL,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,53210,ASCENSION SE WISCONSIN HOSPITAL,02/28/2022 12:00:00 AM,,10,,
2022-03-03T10-04-44,53210,ASCENSION SE WISCONSIN HOSPITAL,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,53210,ASCENSION SE WISCONSIN HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,10,,
2022-05-10T06-06-54,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-11T06-51-12,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-12T07-16-49,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-13T06-07-31,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-14T08-49-14,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-15T05-54-13,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-16T05-54-24,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-17T05-27-38,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-18T05-40-23,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-19T05-25-31,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-20T05-59-40,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-21T05-54-21,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-22T09-07-10,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-23T07-42-39,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
2022-05-24T05-46-03,53210,ASCENSION SE WISCONSIN HOSPITAL,NLP,NLP,NLP,0,04/25/2022 12:00:00 AM
