2022-02-18T16-04-21,35768,HIGHLANDS MEDICAL CENTER,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,35768,HIGHLANDS MEDICAL CENTER,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,35768,HIGHLANDS MEDICAL CENTER,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,35768,HIGHLANDS MEDICAL CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,20,,
2022-03-18T11-17-38,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,18,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-04-14T09-18-06,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-15T06-03-51,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-16T05-33-42,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-17T05-32-24,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-18T05-31-10,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-19T05-39-24,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-20T05-27-37,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-21T05-29-54,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-22T05-26-18,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-23T05-25-10,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-24T05-22-24,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-25T05-22-33,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-26T05-20-54,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-27T05-23-49,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-28T09-22-45,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-29T05-13-54,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-04-30T05-15-55,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-01T05-13-51,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-02T06-02-50,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-03T06-05-23,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-04T05-12-02,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-05T09-49-47,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-06T06-12-41,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-07T05-45-31,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-08T10-02-59,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-09T05-08-14,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-10T06-06-54,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-11T06-51-12,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-12T07-16-49,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-13T06-07-31,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-14T08-49-14,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-15T05-54-13,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-16T05-54-24,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-17T05-27-38,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-18T05-40-23,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-19T05-25-31,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-20T05-59-40,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-21T05-54-21,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-22T09-07-10,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-23T07-42-39,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-24T05-46-03,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-25T05-39-27,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-25T05-39-27,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-25T05-39-27,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
2022-05-25T05-39-27,35768,HEALTHPOINTE PRIMARY CARE,NLP,NLP,NLP,0,03/30/2022 12:00:00 AM
