2022-04-19T05-39-24,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-22T05-26-18,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-23T05-25-10,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-24T05-22-24,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-25T05-22-33,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-26T05-20-54,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-27T05-23-49,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-28T09-22-45,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-29T05-13-54,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-04-30T05-15-55,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-05-01T05-13-51,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-05-02T06-02-50,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-05-03T06-05-23,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-05-04T05-12-02,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,04/18/2022 12:00:00 AM
2022-05-05T09-49-47,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-07T05-45-31,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-08T10-02-59,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-09T05-08-14,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-10T06-06-54,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-11T06-51-12,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-12T07-16-49,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-13T06-07-31,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-14T08-49-14,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-15T05-54-13,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-16T05-54-24,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-17T05-27-38,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-18T05-40-23,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-19T05-25-31,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-22T09-07-10,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,60005,NORTHWEST COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/18/2022 12:00:00 AM
