2022-04-02T06-05-59,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,8,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,8,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,8,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,8,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,8,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,8,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,7,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,7,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,7,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,6,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,6,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,6,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,6,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,11,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,9,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,02135,STEWARD SAINT ELIZABETHS MEDICAL CE,NLP,NLP,NLP,9,05/03/2022 12:00:00 AM
