2022-03-08T14-40-56,97801,ST ANTHONY HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,10,,
2022-05-21T05-54-21,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,97801,ST ANTHONY HOSPITAL,NLP,NLP,NLP,21,05/20/2022 12:00:00 AM
