2022-04-07T05-34-07,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-16T05-33-42,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-17T05-32-24,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-18T05-31-10,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-19T05-39-24,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/18/2022 12:00:00 AM
2022-04-22T05-26-18,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/18/2022 12:00:00 AM
2022-04-23T05-25-10,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/18/2022 12:00:00 AM
2022-04-24T05-22-24,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/18/2022 12:00:00 AM
2022-04-25T05-22-33,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/18/2022 12:00:00 AM
2022-04-26T05-20-54,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-04-29T05-13-54,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-04-30T05-15-55,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-01T05-13-51,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-02T06-02-50,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-03T06-05-23,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-04T05-12-02,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-05T09-49-47,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-06T06-12-41,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-07T05-45-31,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-08T10-02-59,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-09T05-08-14,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,04/25/2022 12:00:00 AM
2022-05-10T06-06-54,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-12T07-16-49,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
2022-05-13T06-07-31,80810,KEEFE MEMORIAL HEALTH SERVICE DISTR,NLP,NLP,NLP,5,05/09/2022 12:00:00 AM
