2022-02-18T16-04-21,44106,UNIVERSITY HOSPITALS OF CLEVELAND,02/16/2022 12:00:00 AM,,50,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,44106,UNIVERSITY HOSPITALS OF CLEVELAND,02/23/2022 12:00:00 AM,,60,50,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,44106,UNIVERSITY HOSPITALS OF CLEVELAND,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,70,50,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,44106,UNIVERSITY HOSPITALS OF CLEVELAND,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,70,70,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,70,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
