2022-02-18T16-04-21,33134,"Cots Medical Group, Corp",02/17/2022 12:00:00 AM,,10,,
2022-04-28T09-22-45,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,04/27/2022 12:00:00 AM
2022-05-01T05-13-51,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,04/27/2022 12:00:00 AM
2022-05-02T06-02-50,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,04/27/2022 12:00:00 AM
2022-05-03T06-05-23,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,04/27/2022 12:00:00 AM
2022-05-04T05-12-02,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,04/27/2022 12:00:00 AM
2022-05-12T07-16-49,33134,S FL Multi-Specialty Medical Group,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,33134,S FL Multi-Specialty Medical Group,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,33134,S FL Multi-Specialty Medical Group,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-15T05-54-13,33134,S FL Multi-Specialty Medical Group,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-15T05-54-13,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-16T05-54-24,33134,S FL Multi-Specialty Medical Group,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-16T05-54-24,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-17T05-27-38,33134,S FL Multi-Specialty Medical Group,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-17T05-27-38,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-18T05-40-23,33134,S FL Multi-Specialty Medical Group,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-05-18T05-40-23,33134,LSL Medical Center; Inc,NLP,NLP,NLP,2,05/11/2022 12:00:00 AM
2022-06-08T05-42-02,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-14T04-15-16,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-15T04-15-27,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-16T04-15-45,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-17T04-15-27,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-18T04-15-18,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-22T04-15-20,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-23T04-15-16,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-24T04-15-26,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-25T04-15-18,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-26T04-15-17,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-27T04-15-31,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-28T04-15-44,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-29T04-15-40,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-06-30T04-15-32,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-01T04-15-22,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-03T14-40-38,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-04T04-15-29,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-05T04-15-18,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-06T04-15-19,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-07T04-15-17,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-07T13-15-18,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-08T04-15-19,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-09T04-15-19,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
2022-07-10T04-15-26,33134,Hope Total Medical Ctr-Coral Gable,NLP,NLP,NLP,50,06/17/2022 12:00:00 AM
