2022-02-18T16-04-21,27705,DUKE UNIVERSITY HEALTH SYSTEM,02/16/2022 12:00:00 AM,,100,,
2022-03-03T09-56-49,27705,DUKE UNIVERSITY HEALTH SYSTEM,02/23/2022 12:00:00 AM,,200,,
2022-03-03T10-04-44,27705,DUKE UNIVERSITY HEALTH SYSTEM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,200,,
2022-03-08T14-40-56,27705,DUKE UNIVERSITY HEALTH SYSTEM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,200,,
2022-03-30T09-27-07,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,100,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,100,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,100,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,100,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,100,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,100,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,100,03/29/2022 12:00:00 AM
2022-04-05T05-48-33,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,180,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,180,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,178,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,178,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,178,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,178,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,178,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,152,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,152,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,27705,DUKE UNIVERSITY HEALTH SYSTEM,NLP,NLP,NLP,152,04/11/2022 12:00:00 AM
