2022-03-03T09-56-49,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,02/28/2022 12:00:00 AM,,45,,
2022-03-03T10-04-44,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,45,45,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,45,45,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-03-30T09-27-07,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-03-31T08-53-07,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-03-31T15-09-22,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-01T06-54-45,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-02T06-05-59,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-03T05-51-54,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-04T05-38-24,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-05T05-48-33,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-06T05-45-18,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-07T05-34-07,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-08T05-48-29,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-09T05-41-09,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-10T09-31-27,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-11T07-06-23,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-12T07-06-55,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-13T09-20-57,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-13T11-55-39,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-14T09-18-06,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-15T06-03-51,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-16T05-33-42,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-17T05-32-24,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-18T05-31-10,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,45,03/02/2022 12:00:00 AM
2022-04-19T05-39-24,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,35,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,35,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,35,04/18/2022 12:00:00 AM
2022-04-22T05-26-18,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,35,04/18/2022 12:00:00 AM
2022-04-23T05-25-10,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,31,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,31,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,31,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,15905,CONEMAUGH MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,31,04/22/2022 12:00:00 AM
