2022-03-03T09-56-49,50158,UNITYPOINT HEALTH-MARSHALLTOWN,02/24/2022 12:00:00 AM,,10,,
2022-03-03T10-04-44,50158,UNITYPOINT HEALTH-MARSHALLTOWN,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,50158,UNITYPOINT HEALTH-MARSHALLTOWN,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-18T09-58-11,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,50158,UNITYPOINT HEALTH-MARSHALLTOWN,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
