2022-03-08T14-40-56,67029,Comanche County Hospital,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,10,10,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,67029,Comanche County Hospital,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
