2022-02-18T16-04-21,79107,AMARILLO PUBLIC HEALTH,02/16/2022 12:00:00 AM,,300,,
2022-03-03T09-56-49,79107,AMARILLO PUBLIC HEALTH,02/21/2022 12:00:00 AM,,560,560,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,79107,AMARILLO PUBLIC HEALTH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,560,560,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,79107,AMARILLO PUBLIC HEALTH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,560,560,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-03-29T08-50-48,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-03-30T09-27-07,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-03-31T08-53-07,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-03-31T15-09-22,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-01T06-54-45,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-02T06-05-59,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-03T05-51-54,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-04T05-38-24,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-05T05-48-33,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-06T05-45-18,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-07T05-34-07,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-08T05-48-29,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-09T05-41-09,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-10T09-31-27,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-11T07-06-23,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-12T07-06-55,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-13T09-20-57,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-13T11-55-39,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-14T09-18-06,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-15T06-03-51,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-16T05-33-42,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-17T05-32-24,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-18T05-31-10,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-19T05-39-24,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-20T05-27-37,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-21T05-29-54,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
2022-04-22T05-26-18,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,560,03/10/2022 12:00:00 AM
