2022-02-18T16-04-21,25130,Boone Memorial Hospital-Inpatient,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,25130,Boone Memorial Hospital-Inpatient,02/28/2022 12:00:00 AM,,40,,
2022-03-03T10-04-44,25130,Boone Memorial Hospital-Inpatient,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,40,,
2022-03-08T14-40-56,25130,Boone Memorial Hospital-Inpatient,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,40,,
2022-05-21T05-54-21,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
