2022-02-18T16-04-21,53215,ASCENSION ST. FRANCIS HOSPITAL,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,53215,ASCENSION ST. FRANCIS HOSPITAL,02/28/2022 12:00:00 AM,,10,,
2022-03-03T10-04-44,53215,ASCENSION ST. FRANCIS HOSPITAL,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,53215,ASCENSION ST. FRANCIS HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,10,,
2022-03-16T18-51-35,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-29T08-50-48,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-30T09-27-07,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-31T08-53-07,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-31T15-09-22,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-01T06-54-45,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-02T06-05-59,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-03T05-51-54,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-04T05-38-24,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-05T05-48-33,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-06T05-45-18,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-07T05-34-07,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-08T05-48-29,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-09T05-41-09,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-04-10T09-31-27,53215,ASCENSION ST. FRANCIS HOSPITAL,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
