2022-02-18T16-04-21,39402,HATTIESBURG CLINIC,02/16/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,39402,HATTIESBURG CLINIC,02/23/2022 12:00:00 AM,,35,,
2022-03-03T10-04-44,39402,HATTIESBURG CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,35,36,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,39402,HATTIESBURG CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,35,36,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-03-30T09-27-07,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-03-31T08-53-07,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-03-31T15-09-22,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-01T06-54-45,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-02T06-05-59,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-03T05-51-54,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-04T05-38-24,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-05T05-48-33,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-05T05-48-33,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-06T05-45-18,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-06T05-45-18,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-07T05-34-07,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-07T05-34-07,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-08T05-48-29,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-08T05-48-29,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-09T05-41-09,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-09T05-41-09,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-10T09-31-27,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-10T09-31-27,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-11T07-06-23,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-11T07-06-23,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-12T07-06-55,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-12T07-06-55,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
