2022-02-18T16-04-21,36420,ANDALUSIA REGIONAL HOSPITAL,02/17/2022 12:00:00 AM,,10,0,02/16/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,36420,MAINSTREET FAMILY CARE ANDALUSIA,NLP,NLP,NLP,12,05/23/2022 12:00:00 AM
