2022-02-18T16-04-21,49684,MUNSON MEDICAL CENTER,02/17/2022 12:00:00 AM,,25,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,49684,MUNSON MEDICAL CENTER,02/25/2022 12:00:00 AM,,50,25,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,49684,MUNSON MEDICAL CENTER,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,50,50,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,49684,MUNSON MEDICAL CENTER,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,50,50,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/19/2022 12:00:00 AM
2022-03-22T09-16-18,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,50,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,48,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,48,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,48,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,48,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-05T05-48-33,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,47,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,87,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-07T05-34-07,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,87,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-08T05-48-29,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,84,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-09T05-41-09,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,82,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-10T09-31-27,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,82,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-11T07-06-23,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,82,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-12T07-06-55,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-12T07-06-55,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,81,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,77,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-13T11-55-39,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,77,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-14T09-18-06,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,77,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-15T06-03-51,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,68,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-16T05-33-42,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,63,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-17T05-32-24,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,63,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-18T05-31-10,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,63,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-19T05-39-24,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-19T05-39-24,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,60,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,63,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-21T05-29-54,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,61,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-22T05-26-18,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,55,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
