2022-02-18T16-04-21,55723,COOK HOSPITAL,02/18/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,55723,COOK HOSPITAL,02/23/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,55723,COOK HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,55723,COOK HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,,
2022-04-06T05-45-18,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-13T09-20-57,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-13T11-55-39,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-14T09-18-06,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-15T06-03-51,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-16T05-33-42,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-17T05-32-24,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-18T05-31-10,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-19T05-39-24,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-20T05-27-37,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-21T05-29-54,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-22T05-26-18,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-23T05-25-10,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-04-24T05-22-24,55723,COOK HOSPITAL,NLP,NLP,NLP,13,04/08/2022 12:00:00 AM
2022-05-07T05-45-31,55723,COOK HOSPITAL,NLP,NLP,NLP,12,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,55723,COOK HOSPITAL,NLP,NLP,NLP,12,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,55723,COOK HOSPITAL,NLP,NLP,NLP,12,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,55723,COOK HOSPITAL,NLP,NLP,NLP,12,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,55723,COOK HOSPITAL,NLP,NLP,NLP,12,05/06/2022 12:00:00 AM
2022-05-12T07-16-49,55723,COOK HOSPITAL,NLP,NLP,NLP,12,05/06/2022 12:00:00 AM
2022-05-13T06-07-31,55723,COOK HOSPITAL,NLP,NLP,NLP,12,05/06/2022 12:00:00 AM
