2022-02-18T16-04-21,33070,Mariners Hospital,02/17/2022 12:00:00 AM,,10,0,02/18/2022 12:00:00 AM
2022-04-04T05-38-24,33070,Mariners Hospital,NLP,NLP,NLP,10,04/03/2022 12:00:00 AM
2022-04-13T09-20-57,33070,Mariners Hospital,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33070,Mariners Hospital,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,33070,Mariners Hospital,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,33070,Mariners Hospital,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-16T05-33-42,33070,Mariners Hospital,NLP,NLP,NLP,4,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33070,Mariners Hospital,NLP,NLP,NLP,3,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,33070,Mariners Hospital,NLP,NLP,NLP,3,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,33070,Mariners Hospital,NLP,NLP,NLP,3,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,33070,Mariners Hospital,NLP,NLP,NLP,3,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,33070,Mariners Hospital,NLP,NLP,NLP,3,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,33070,Mariners Hospital,NLP,NLP,NLP,3,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,33070,Mariners Hospital,NLP,NLP,NLP,3,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,33070,Mariners Hospital,NLP,NLP,NLP,13,04/23/2022 12:00:00 AM
2022-04-25T05-22-33,33070,Mariners Hospital,NLP,NLP,NLP,13,04/24/2022 12:00:00 AM
2022-04-26T05-20-54,33070,Mariners Hospital,NLP,NLP,NLP,9,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,33070,Mariners Hospital,NLP,NLP,NLP,9,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,33070,Mariners Hospital,NLP,NLP,NLP,9,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,33070,Mariners Hospital,NLP,NLP,NLP,9,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,33070,Mariners Hospital,NLP,NLP,NLP,9,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,33070,Mariners Hospital,NLP,NLP,NLP,9,04/30/2022 12:00:00 AM
2022-05-02T06-02-50,33070,Mariners Hospital,NLP,NLP,NLP,9,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,33070,Mariners Hospital,NLP,NLP,NLP,9,05/01/2022 12:00:00 AM
2022-05-04T05-12-02,33070,Mariners Hospital,NLP,NLP,NLP,9,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,33070,Mariners Hospital,NLP,NLP,NLP,9,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,33070,Mariners Hospital,NLP,NLP,NLP,9,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,33070,Mariners Hospital,NLP,NLP,NLP,9,05/06/2022 12:00:00 AM
