2022-03-08T14-40-56,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,22,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,17,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,17,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,13,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,20770,ARTHRITIS AND PAIN ASSOCIATES OF PG,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
